7;10.9;0.5
11;14.9;1
15;18.9;1.5
19;22.9;2
23;26.9;2.5
27;31.2;3
31.3;35.8;3.5
35.9;40.7;4
40.8;46.2;4.5
46.3;52.2;5
52.3;58.7;5.5
58.8;65.7;6
65.8;73.2;6.5
73.3;81.2;7
81.3;89.7;7.5
89.8;98.9;8
99;108.9;8.5
109;119.7;9
119.8;131.2;9.5
